Locality_ID,Cluster,Latitude,Longitude,Mean annual temperature,Total annual precipitation,Temperature range,Disturbance,Hemisphere,Continent,Pitfall days,Transect length,Species richness,PIE
Andersen&Hoffmann_2011_10,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,30,0.8380036697
Andersen&Hoffmann_2011_11,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,38,0.8349945917
Andersen&Hoffmann_2011_12,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,42,0.8942173898
Andersen&Hoffmann_2011_13,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,33,0.895871518
Andersen&Hoffmann_2011_14,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,46,0.8570304371
Andersen&Hoffmann_2011_15,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,27,0.8316431074
Andersen&Hoffmann_2011_16,32,-12.7,130.983,27.4,1500,17.8,Disturbed,South,Oceania,120,40,36,0.8560241457
Andersen_1986_01,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,12,0.7158469946
Andersen_1986_02,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,13,0.757797487
Andersen_1986_03,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,7,0.5434667606
Andersen_1986_04,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,19,0.8075019223
Andersen_1986_05,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,17,0.798066663
Andersen_1986_06,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,13,0.8263361319
Andersen_1986_07,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,12,0.7285223366
Andersen_1986_08,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,18,0.7510727368
Andersen_1986_09,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,16,0.731280637
Andersen_1986_10,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,10,0.7960992909
Andersen_1986_11,1,-39.02,146.38,12.2,1201,15.8,Undisturbed,South,Oceania,300,30,5,0.6780303028
Andersen_1993_01,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,26,0.8721991697
Andersen_1993_02,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,34,0.9027689092
Andersen_1993_03,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,21,0.8856275303
Andersen_1993_04,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,17,0.8479553236
Andersen_1993_05,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,39,0.9301702129
Andersen_1993_06,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,30,0.8926073202
Andersen_1993_07,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,26,0.9058091291
Andersen_1993_08,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,24,0.8504881446
Andersen_1993_09,26,-18.72,138.6,25.8,545,25.8,Undisturbed,South,Oceania,60,50,16,0.8567836942
Andersen_1997_01,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,17,0.8671906584
Andersen_1997_02,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,24,0.9144592348
Andersen_1997_03,46,31.87,-109.25,11.3,560,33.2,Undisturbed,North,North America,60,40,26,0.9023176013
